ID,name,location,jobrole,department,language,author,keyword
100001,John Smith1,Boston,Accountant,Accounting,English,James Cook...100,*
100002,John Smith2,New York,Accounting Manager,Accounting,German,James Cook...246,*
100003,John Smith3,Los Angeles,Accountant,Accounting,English,James Cook...392,*
100004,John Smith4,Phoenix,Technical Support,Accounting,English,Mary Blackwell...38,ETL
100005,John Smith5,Houston,Forecaster,Finance,English,Mary Blackwell...184,*
100006,John Smith6,Austin,Investment,Finance,English,Mary Blackwell...349,*
100007,John Smith7,Seattle,Investment,Finance,French,Mary Blackwell...495,*
100008,John Smith8,San Francisco,Technical Support,Finance,English,Simon Z....141,*
100009,John Smith9,Atlanta,Recruiter,Human Resources,English,Simon Z....287,*
100010,John Smith10,Denver,Recruiter,Human Resources,English,Simon Z....433,*
100011,John Smith11,Portland,Hiring Manager,Human Resources,French,Boris Becker...101,*
100012,John Smith12,Miami,HR Manager,Human Resources,Spanish,Boris Becker...247,*
100013,John Smith13,Orlando,Planning,Operations,French,Boris Becker...393,*
100014,John Smith14,Charlotte,IT Support,Operations,French,Bjorn Bork...39,*
100015,John Smith15,Chicago,Planning,Operations,French,Bjorn Bork...185,*
100016,John Smith16,Manchester,IT Support,Operations,French,Bjorn Bork...350,*
100017,John Smith17,Tucson,Sales Rep,Sales,Spanish,Bjorn Bork...496,*
100018,John Smith18,Cincinati,Senior Sales Rep,Sales,French,Andre Agassi...142,*
100019,John Smith19,Baltimore,Sales Manager,Sales,French,Andre Agassi...288,*
100020,John Smith20,New Jersey,Sales Rep,Sales,French,Andre Agassi...434,*
100021,John Smith21,Honolulu,Trainer,Training,French,Mary Blackwell...425,*
100022,John Smith22,Fairbanks,Technical Writer,Training,French,Mary Blackwell...426,*
100023,John Smith23,Anchorage,Trainer,Training,French,Mary Blackwell...427,*
100024,John Smith24,Salt Lake City,Traning Manager,Training,French,Mary Blackwell...428,*
100025,John Smith25,San Diego,IT Support,Transportation,French,Mary Blackwell...429,ETL
100026,John Smith26,Boston,Delivery,Transportation,French,Mary Blackwell...430,*
100027,John Smith27,New York,Transportation Manager,Transportation,French,Mary Blackwell...431,*
100028,John Smith28,Los Angeles,Delivery,Transportation,French,Mary Blackwell...495,*
100029,John Smith29,Phoenix,Accountant,Accounting,French,Simon Z....58,GAAP
100030,John Smith30,Houston,Accounting Manager,Accounting,French,Simon Z....59,*
100031,John Smith31,Austin,Accountant,Accounting,French,Simon Z....60,*
100032,John Smith32,Seattle,Technical Support,Accounting,French,Simon Z....61,*
100033,John Smith33,San Francisco,Forecaster,Finance,French,Simon Z....62,*
100034,John Smith34,Atlanta,Investment,Finance,French,Simon Z....63,*
100035,John Smith35,Denver,Investment,Finance,French,Simon Z....64,*
100036,John Smith36,Portland,Technical Support,Finance,French,Simon Z....65,*
100037,John Smith37,Miami,Recruiter,Human Resources,Spanish,Simon Z....66,*
100038,John Smith38,Orlando,Recruiter,Human Resources,French,Simon Z....67,*
100039,John Smith39,Charlotte,Hiring Manager,Human Resources,French,Simon Z....68,*
100040,John Smith40,Chicago,HR Manager,Human Resources,French,Simon Z....69,*
100041,John Smith41,Manchester,Planning,Operations,French,Simon Z....70,*
100042,John Smith42,Tucson,IT Support,Operations,Spanish,Simon Z....71,ETL
100043,John Smith43,Cincinati,Planning,Operations,French,Simon Z....72,*
100044,John Smith44,Baltimore,IT Support,Operations,French,Simon Z....73,ETL
100045,John Smith45,New Jersey,Sales Rep,Sales,French,Simon Z....74,Powerpoint Presentation
100046,John Smith46,Honolulu,Senior Sales Rep,Sales,French,Simon Z....75,*
100047,John Smith47,Fairbanks,Sales Manager,Sales,French,Simon Z....76,*
100048,John Smith48,Anchorage,Sales Rep,Sales,French,Simon Z....77,*
100049,John Smith49,Salt Lake City,Trainer,Training,French,Simon Z....141,*
100050,John Smith50,San Diego,Technical Writer,Training,French,Simon Z....204,*
100051,John Smith51,Boston,Trainer,Training,French,Simon Z....205,*
100052,John Smith52,New York,Traning Manager,Training,French,Simon Z....206,*
100053,John Smith53,Los Angeles,IT Support,Transportation,French,Simon Z....207,ETL
100054,John Smith54,Phoenix,Delivery,Transportation,French,Simon Z....208,*
100055,John Smith55,Houston,Transportation Manager,Transportation,French,Simon Z....209,*
100056,John Smith56,Austin,Delivery,Transportation,French,Simon Z....210,*
100057,John Smith57,Seattle,Accountant,Accounting,French,Simon Z....211,GAAP
100058,John Smith58,San Francisco,Accounting Manager,Accounting,French,Simon Z....212,GAAP
100059,John Smith59,Atlanta,Accountant,Accounting,French,Simon Z....213,GAAP
100060,John Smith60,Denver,Technical Support,Accounting,French,Simon Z....214,ETL
100061,John Smith61,Portland,Forecaster,Finance,French,Simon Z....215,*
100062,John Smith62,Miami,Investment,Finance,Spanish,Simon Z....216,VAR
100063,John Smith63,Orlando,Investment,Finance,French,Simon Z....217,VAR
100064,John Smith64,Charlotte,Technical Support,Finance,French,Simon Z....218,ETL
100065,John Smith65,Chicago,Recruiter,Human Resources,French,Simon Z....219,*
100066,John Smith66,Manchester,Recruiter,Human Resources,French,Simon Z....220,*
100067,John Smith67,Tucson,Hiring Manager,Human Resources,Spanish,Simon Z....221,*
100068,John Smith68,Cincinati,HR Manager,Human Resources,French,Simon Z....222,*
100069,John Smith69,Baltimore,Planning,Operations,French,Simon Z....223,*
100070,John Smith70,New Jersey,IT Support,Operations,French,Simon Z....287,ETL
100071,John Smith71,Honolulu,Planning,Operations,French,Simon Z....350,*
100072,John Smith72,Fairbanks,IT Support,Operations,French,Simon Z....351,ETL
100073,John Smith73,Anchorage,Sales Rep,Sales,French,Simon Z....352,*
100074,John Smith74,Salt Lake City,Senior Sales Rep,Sales,French,Simon Z....353,Powerpoint Presentation
100075,John Smith75,San Diego,Sales Manager,Sales,French,Simon Z....354,Powerpoint Presentation
100076,John Smith76,Boston,Sales Rep,Sales,French,Simon Z....355,Powerpoint Presentation
100077,John Smith77,New York,Trainer,Training,French,Simon Z....356,*
100078,John Smith78,Los Angeles,Technical Writer,Training,French,Simon Z....357,*
100079,John Smith79,Phoenix,Trainer,Training,French,Simon Z....358,LMS
100080,John Smith80,Houston,Traning Manager,Training,French,Simon Z....359,*
100081,John Smith81,Austin,IT Support,Transportation,French,Simon Z....360,ETL
100082,John Smith82,Seattle,Delivery,Transportation,German,Simon Z....361,*
100083,John Smith83,San Francisco,Transportation Manager,Transportation,French,Simon Z....362,*
100084,John Smith84,Atlanta,Delivery,Transportation,French,Simon Z....363,*
100085,John Smith85,Denver,Accountant,Accounting,French,Simon Z....364,GAAP
100086,John Smith86,Portland,Accounting Manager,Accounting,French,Simon Z....365,GAAP
100087,John Smith87,Miami,Accountant,Accounting,Spanish,Simon Z....366,GAAP
100088,John Smith88,Orlando,Technical Support,Accounting,French,Simon Z....367,ETL
100089,John Smith89,Charlotte,Forecaster,Finance,French,Simon Z....368,Predictive Analysis
100090,John Smith90,Chicago,Investment,Finance,French,Simon Z....369,VAR
100091,John Smith91,Manchester,Investment,Finance,French,Simon Z....433,VAR
100092,John Smith92,Tucson,Technical Support,Finance,Spanish,Boris Becker...18,ETL
100093,John Smith93,Cincinati,Recruiter,Human Resources,French,Boris Becker...19,ATS
100094,John Smith94,Baltimore,Recruiter,Human Resources,French,Boris Becker...20,ATS
100095,John Smith95,New Jersey,Hiring Manager,Human Resources,French,Boris Becker...21,*
100096,John Smith96,Honolulu,HR Manager,Human Resources,French,Boris Becker...22,*
100097,John Smith97,Fairbanks,Planning,Operations,French,Boris Becker...23,*
100098,John Smith98,Anchorage,IT Support,Operations,French,Boris Becker...24,ETL
100099,John Smith99,Salt Lake City,Planning,Operations,French,Boris Becker...25,*
100100,John Smith100,San Diego,IT Support,Operations,French,Boris Becker...26,ETL
100101,John Smith101,Boston,Sales Rep,Sales,French,Boris Becker...27,Powerpoint Presentation
100102,John Smith102,New York,Senior Sales Rep,Sales,French,Boris Becker...28,Powerpoint Presentation
100103,John Smith103,Los Angeles,Sales Manager,Sales,French,Boris Becker...29,Powerpoint Presentation
100104,John Smith104,Phoenix,Sales Rep,Sales,French,Boris Becker...30,Powerpoint Presentation
